"","raster_files","raster_paths","year","fishing_type"
"1","all_2012.tif","./fishery_raster/all_2012.tif","2012","All Fishing Types"
"2","all_2013.tif","./fishery_raster/all_2013.tif","2013","All Fishing Types"
"3","all_2014.tif","./fishery_raster/all_2014.tif","2014","All Fishing Types"
"4","all_2015.tif","./fishery_raster/all_2015.tif","2015","All Fishing Types"
"5","all_2016.tif","./fishery_raster/all_2016.tif","2016","All Fishing Types"
"6","drifting_longlines_2012.tif","./fishery_raster/drifting_longlines_2012.tif","2012","Drifting Longlines"
"7","drifting_longlines_2013.tif","./fishery_raster/drifting_longlines_2013.tif","2013","Drifting Longlines"
"8","drifting_longlines_2014.tif","./fishery_raster/drifting_longlines_2014.tif","2014","Drifting Longlines"
"9","drifting_longlines_2015.tif","./fishery_raster/drifting_longlines_2015.tif","2015","Drifting Longlines"
"10","drifting_longlines_2016.tif","./fishery_raster/drifting_longlines_2016.tif","2016","Drifting Longlines"
"11","fixed_gear_2012.tif","./fishery_raster/fixed_gear_2012.tif","2012","Fixed Gear"
"12","fixed_gear_2013.tif","./fishery_raster/fixed_gear_2013.tif","2013","Fixed Gear"
"13","fixed_gear_2014.tif","./fishery_raster/fixed_gear_2014.tif","2014","Fixed Gear"
"14","fixed_gear_2015.tif","./fishery_raster/fixed_gear_2015.tif","2015","Fixed Gear"
"15","fixed_gear_2016.tif","./fishery_raster/fixed_gear_2016.tif","2016","Fixed Gear"
"16","other_fishing_2012.tif","./fishery_raster/other_fishing_2012.tif","2012","Others"
"17","other_fishing_2013.tif","./fishery_raster/other_fishing_2013.tif","2013","Others"
"18","other_fishing_2014.tif","./fishery_raster/other_fishing_2014.tif","2014","Others"
"19","other_fishing_2015.tif","./fishery_raster/other_fishing_2015.tif","2015","Others"
"20","other_fishing_2016.tif","./fishery_raster/other_fishing_2016.tif","2016","Others"
"21","purse_seines_2012.tif","./fishery_raster/purse_seines_2012.tif","2012","Purse Seines"
"22","purse_seines_2013.tif","./fishery_raster/purse_seines_2013.tif","2013","Purse Seines"
"23","purse_seines_2014.tif","./fishery_raster/purse_seines_2014.tif","2014","Purse Seines"
"24","purse_seines_2015.tif","./fishery_raster/purse_seines_2015.tif","2015","Purse Seines"
"25","purse_seines_2016.tif","./fishery_raster/purse_seines_2016.tif","2016","Purse Seines"
"26","squid_jigger_2012.tif","./fishery_raster/squid_jigger_2012.tif","2012","Squid Jigger"
"27","squid_jigger_2013.tif","./fishery_raster/squid_jigger_2013.tif","2013","Squid Jigger"
"28","squid_jigger_2014.tif","./fishery_raster/squid_jigger_2014.tif","2014","Squid Jigger"
"29","squid_jigger_2015.tif","./fishery_raster/squid_jigger_2015.tif","2015","Squid Jigger"
"30","squid_jigger_2016.tif","./fishery_raster/squid_jigger_2016.tif","2016","Squid Jigger"
"31","trawlers_2012.tif","./fishery_raster/trawlers_2012.tif","2012","Trawler"
"32","trawlers_2013.tif","./fishery_raster/trawlers_2013.tif","2013","Trawler"
"33","trawlers_2014.tif","./fishery_raster/trawlers_2014.tif","2014","Trawler"
"34","trawlers_2015.tif","./fishery_raster/trawlers_2015.tif","2015","Trawler"
"35","trawlers_2016.tif","./fishery_raster/trawlers_2016.tif","2016","Trawler"
